Response ID,Date submitted,Last page,Start language,Seed,,"On average, how much time do you spend playing video games each week?  [Select one option]",What types of courses have you taken at McMaster this current school year? [Select one option],"During the current school year, how often would you say you have done the following? [Combined ideas from different courses when completing assignments]","During the current school year, how often would you say you have done the following? [Connected your learning to societal problems or health-related issues]","During the current school year, how often would you say you have done the following? [Learned something that changed the way you understand an issue or concept]","During the current school year, how often would you say you have done the following? [Connected ideas from your courses to your prior experiences and knowledge]","During the current school year, how much would you say your coursework has emphasized the following? [Memorizing course material]","During the current school year, how much would you say your coursework has emphasized the following? [Applying facts, theories, or methods to practical problems or new situations]","During the current school year, how much would you say your coursework has emphasized the following? [Analyzing an idea, experience, or line of reasoning in depth by examining its parts]","During the current school year, how much would you say your coursework has emphasized the following? [Forming a new idea or understanding from various pieces of information]","If game-based learning approaches were incorporated into one of your science courses, how do you think that this mode of learning can help with the following? [Combine ideas from different courses when completing assignments]","If game-based learning approaches were incorporated into one of your science courses, how do you think that this mode of learning can help with the following? [Connecting learning to societal problems or health-related issues]","If game-based learning approaches were incorporated into one of your science courses, how do you think that this mode of learning can help with the following? [Learn something that changes the way you understand an issue or concept]","If game-based learning approaches were incorporated into one of your science courses, how do you think that this mode of learning can help with the following? [Connect ideas from your courses to your prior experiences and knowledge]","If BIO1A03 added a game-based learning component, how much would this improve your motivation to do the following? [Memorizing course material]","If BIO1A03 added a game-based learning component, how much would this improve your motivation to do the following? [Applying facts, theories, or methods to practical problems or new situations]","If BIO1A03 added a game-based learning component, how much would this improve your motivation to do the following? [Analyzing an idea, experience, or line of reasoning in depth by examining its parts]","If BIO1A03 added a game-based learning component, how much would this improve your motivation to do the following? [Forming a new idea or understanding from various pieces of information]","How likely is it that you would play the video game Cells at War on your own time, outside of class to further consolidate material taught during this class? [Select one option]","How prepared would you feel if you were given a quiz on Pompe Disease based on the Cells at War game, compared to studying off traditional lecture slides (with accompanying readings)? [Select one option]","Going forward, would you like to see more game-based learning approaches being utilized in the classroom as an alternative to conventional teaching methods (ex. traditional lectures), especially as it applies to applications in the real world? Explain briefly.","How intuitive were the camera controls? (1 being least intuitive, 5 being most intuitive)","How intuitive were the game play elements (aiming, shooting, glucose, post-care)? (1 being least intuitive, 5 being most intuitive)","From a learning perspective, how accessible does the game feel for you? Can you suggest any improvements that would make the game more accessible for all types of learners? (1 being not accessible and 5 being very accessible)","From a learning perspective, how accessible does the game feel for you? Can you suggest any improvements that would make the game more accessible for all types of learners? (1 being not accessible and 5 being very accessible) [Comment]",Please report any major bugs in the game if applicable
14,1980-01-01 00:00:00,1,en,569275903,,Some (between 3-10 hours per week),Mostly hybrid or blended courses that combine in-person and remote instruction,Sometimes,Often,Often,Often,Quite a bit,Very much,Very much,Very much,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Some,Quite a bit,Quite a bit,Quite a bit,Somewhat Likely,Somewhat Prepared,"Yes I believe game base learning would allow students to better apply their knowledge, especially games that requires strategy and background knowledge of the subject.",3,3,4,,"- when clicking through the animation clips before the game starts, it showed a black screen between clips
- i believe incorporating a space bar feature to click through the clips would be more effective for the user 
- the clips seemed to be lower quality (more pixelated than the game) 
- it would be nice if the animation of the clip didnt stop at a certain point and continued until the user clicks to the next scene (animation flows better)"
15,1980-01-01 00:00:00,1,en,755742554,,I don't play video games,A balanced mix of the above course types,Sometimes,Sometimes,Often,Very often,Quite a bit,Quite a bit,Some,Quite a bit,Some,Quite a bit,Very much,Very much,Very much,Very much,Very much,Very much,Somewhat Likely,Very prepared,Yes I would like to see more game-based learning as it is a fun way to memorize content. Learning content through application and visualization is a great way to understand material.,5,5,5,,
16,1980-01-01 00:00:00,1,en,515760679,,I don't play video games,A balanced mix of the above course types,Very often,Often,Very often,Very often,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Very Likely,Somewhat Prepared,"I would like to see more game-based learning approaches, but perhaps combined with conventional teaching methods, so that there's more of a balance. That way, classes can be more fun and engaging but I feel that more content can be taught with conventional methods. So, I think a balance of the two would be ideal!",5,4,4,It was really accessible for me. Everything in the game was easy to use and explained well.,None that I could tell.
17,1980-01-01 00:00:00,1,en,1220720917,,Some (between 3-10 hours per week),A balanced mix of the above course types,Sometimes,Sometimes,Sometimes,Sometimes,Quite a bit,Quite a bit,Quite a bit,Some,Very little,Some,Some,Quite a bit,Quite a bit,Some,Quite a bit,Quite a bit,Somewhat Likely,Somewhat Prepared,"I think so. Being blunt, the university grind sucks and it's hard to find the motivation to keep pushing through lecture after lecture after lecture. Having something fun like this that breaks up the monotony I think is a great way to alleviate a little bit of that university burn out and revitalize some of that motivation to do the work. For me especially, I think this could be a helpful study tool because I am very easily distracted by anything even marginally more interesting than staring at a textbook, so having something more engaging to study with would be really beneficial.",4,4,4,"I'm not the best person to assess accessibility, but generally the game didn't feel terribly difficult. It does require some degree of motor skill, but any game will. I think it's probably pretty good all things considered, but again, I'm not a good person to assess this.","No bugs I think, there were just a few times when I feel like I hit a bond but it didn't break."
18,1980-01-01 00:00:00,1,en,1298610477,,,,,,,,,,,,,,,,,,,,,,"yes, it would let me have more motivation for class.",3,4,3,,
19,1980-01-01 00:00:00,1,en,411927766,,I don't play video games,Mostly hybrid or blended courses that combine in-person and remote instruction,Very often,Sometimes,Often,Often,Quite a bit,Very much,Quite a bit,Quite a bit,Some,Quite a bit,Some,Some,Very little,Some,Some,Quite a bit,Somewhat Likely,Not prepared at all,I think it would be helpful and motivational to have some game based learning but only as a small part of the unit. It's helpful visually but can get distaracting with the game more than learning the actual information.,3,4,5,,
20,1980-01-01 00:00:00,1,en,495131867,,I don't play video games,Mostly hybrid or blended courses that combine in-person and remote instruction,Sometimes,Often,Very often,Often,Very much,Some,Very much,Some,Some,Very much,Very much,Very much,Quite a bit,Quite a bit,Very much,Some,Somewhat Likely,Somewhat Prepared,Yes I think it better helps me recall information when material is associated with a fun experience that is engaging.,4,4,4,Maybe making the levels available before passing each one so people can go back and see the info without having to play the game.,None experienced
21,1980-01-01 00:00:00,1,en,395288761,,I don't play video games,Mostly hybrid or blended courses that combine in-person and remote instruction,Sometimes,Sometimes,Often,Often,Very much,Quite a bit,Quite a bit,Some,Some,Quite a bit,Quite a bit,Some,Quite a bit,Very much,Very much,Quite a bit,Somewhat Likely,Very prepared,"I like the game based learning and I like how it has the artboard section that gives a definition and textually shows the information that was shown. It makes it more motivating to play the game and then actually review the content afterwards. Its almost like multiple ways of information reinforcement that many people, myself included, can benefit from",4,4,5,I think it was very accessible. Maybe add a voice over option,Didnt find any!
22,1980-01-01 00:00:00,1,en,956741101,,I don't play video games,Mostly hybrid or blended courses that combine in-person and remote instruction,Often,Sometimes,Sometimes,Very often,Some,Quite a bit,Very much,Very much,Some,Quite a bit,Some,Some,Quite a bit,Quite a bit,Some,Some,Somewhat Likely,Somewhat Prepared,"I think a combination of game-based learning and lectures would be great. That way, it would accommodate to the learning styles of various students, being more effective overall.",3,3,3,"Not quite sure if this would be possible, but maybe if it could be introduced to iPads or mobile phones. That would increase it's accessibility.",
23,1980-01-01 00:00:00,1,en,501159384,,I don't play video games,Mostly in-person courses,Often,Sometimes,Often,Often,Very much,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Very much,Quite a bit,Very much,Quite a bit,Quite a bit,Quite a bit,Very Likely,Somewhat Prepared,I think it is a really cool way to keep students engaged and motivated to learn the content so I think it would be beneficial.,3,4,5,I think it is very accessible being posted on avenue for students.,When accessing the link before you make the game full screen half of the game is cut off by the screen
